1	315
2	500
2	501
3	316
3	317
4	318
5	319
5	584
6	320
7	321
7	322
8	323
8	324
8	325
9	326
9	327
10	328
10	329
10	330
11	331
12	332
13	333
14	334
14	335
14	336
14	337
14	338
14	339
14	340
14	341
14	342
14	343
14	344
14	345
15	346
16	347
17	348
18	349
19	350
20	351
21	352
21	353
22	354
23	323
23	355
23	356
24	357
25	358
26	359
27	360
27	361
27	362
28	363
28	364
29	365
30	366
31	367
32	368
33	369
33	370
34	371
35	372
36	373
37	352
38	374
38	375
39	376
40	336
40	377
40	378
40	379
40	380
41	381
42	382
42	383
43	371
44	384
45	318
46	385
47	386
48	387
49	440
50	337
51	388
52	654
53	389
54	390
55	415
56	391
57	392
57	393
57	394
57	395
58	396
59	397
60	398
61	399
61	400
62	367
63	401
64	338
64	402
65	403
66	404
67	405
68	406
68	407
69	408
69	409
69	410
69	411
70	412
71	413
72	414
72	415
73	416
74	417
75	328
76	418
77	419
78	420
79	421
80	422
81	423
81	424
82	324
83	356
84	347
85	425
85	426
86	427
87	382
87	383
87	428
87	429
87	430
87	431
87	432
87	433
88	434
88	435
88	436
89	437
90	430
91	438
92	439
93	440
93	441
93	442
93	443
93	511
93	512
94	444
94	445
95	446
96	408
97	447
98	329
98	330
98	448
98	449
98	450
99	451
100	452
100	453
101	454
102	455
103	456
104	457
104	458
105	384
106	531
107	459
107	460
107	461
108	568
109	462
110	384
110	391
110	463
111	338
111	451
111	452
111	464
111	465
111	466
111	467
111	468
112	469
113	396
114	409
115	654
116	356
117	470
117	471
118	507
119	316
119	317
120	472
121	396
122	328
123	330
123	394
123	395
123	444
123	449
123	473
123	474
123	475
123	476
123	477
123	478
123	479
123	480
123	481
123	482
123	483
123	484
123	485
123	486
123	487
123	488
123	489
123	490
123	491
123	492
123	493
124	494
125	483
126	412
126	495
126	496
127	497
128	498
129	499
129	500
129	501
129	502
129	503
129	504
129	505
129	506
130	507
131	508
132	435
133	412
133	495
133	496
134	380
134	441
134	442
134	443
134	449
134	484
134	485
134	486
134	487
134	488
134	489
134	502
134	509
134	510
134	511
134	512
134	513
134	514
134	515
134	516
134	517
134	518
135	519
136	520
136	521
137	639
138	522
139	627
140	523
141	526
141	527
141	528
142	525
143	500
143	501
144	524
145	529
146	530
147	391
147	531
148	530
149	365
150	386
151	532
152	533
153	534
154	535
155	401
156	367
156	430
156	437
156	536
156	537
156	538
156	539
156	540
156	541
156	542
157	543
158	348
159	353
159	544
160	415
161	532
161	545
161	584
161	585
161	586
162	446
163	546
164	547
165	351
165	548
166	549
167	550
168	551
169	413
170	543
171	552
172	451
172	553
172	554
172	555
173	513
174	497
175	556
176	442
176	443
176	512
176	557
176	558
176	559
176	560
176	561
176	562
176	592
177	436
178	578
179	550
180	370
181	396
182	339
182	340
182	341
182	342
182	489
182	514
182	515
182	563
182	564
182	565
182	566
183	567
184	568
185	569
185	570
186	541
186	573
186	574
186	575
186	576
187	571
188	388
189	572
190	451
191	577
192	381
193	578
194	366
194	572
194	579
194	580
194	581
195	582
195	583
196	319
196	584
196	585
196	586
197	399
198	587
199	606
200	604
201	333
201	588
202	589
203	343
203	590
204	376
205	350
205	388
205	558
205	559
205	560
205	561
205	562
205	591
205	592
206	445
206	542
207	375
207	593
207	594
208	452
208	595
208	596
208	597
208	598
209	431
209	432
210	497
211	344
212	490
212	541
212	574
212	596
212	598
212	599
212	600
213	601
213	602
213	603
214	398
214	575
214	576
214	597
214	598
215	556
216	470
216	471
217	366
217	459
217	460
217	461
217	580
218	604
219	605
219	606
220	623
221	607
222	465
222	579
222	581
223	386
224	466
225	412
226	608
227	351
227	548
228	609
229	325
229	610
230	611
231	351
231	548
232	657
233	415
234	594
234	612
234	613
234	614
234	615
234	616
234	617
234	618
235	382
235	383
235	655
236	397
237	533
238	400
238	619
239	328
239	409
239	410
239	411
240	621
241	337
242	620
243	405
244	326
244	327
245	622
246	387
247	470
247	471
248	516
249	623
250	608
251	624
252	560
252	592
253	625
254	376
254	405
255	503
255	504
255	505
255	506
256	627
257	323
258	365
258	547
259	424
259	507
259	628
260	351
261	629
262	346
263	364
263	529
263	630
264	561
265	515
265	517
265	626
266	453
266	530
266	631
266	632
267	351
268	608
269	362
269	633
270	634
271	635
272	498
273	636
273	637
273	638
273	639
274	640
275	641
276	642
277	620
278	316
278	317
279	345
280	534
281	643
282	644
283	645
284	646
284	647
285	328
286	648
287	404
288	472
288	649
288	650
288	651
289	650
289	651
290	439
291	491
291	582
291	583
291	625
292	652
293	653
294	655
295	561
295	562
295	656
296	657
297	658
298	342
298	659
298	660
298	661
299	535
300	384
301	433
301	611
301	662
301	663
301	664
302	385
303	630
304	397
305	589
306	467
307	322
308	467
308	468
308	665
308	666
308	667
309	668
310	420
310	468
310	619
310	667
310	669
310	670
310	671
310	672
310	673
310	674
311	518
312	578
313	322
314	450
314	492
314	493
