49,20820
6,17038
2,3526
15,18299
4,15080
3,2683
2,2578
0,16258
0,2650
1,15504
2,16071
4,120943
3,21206
0,15976
3,20803
5,18658
2,2593
1,3509
0,2764
2,2536
2,2763
2,16528
1,21418
5,116999
2,14999
1,15384
1,110527
4,19170
2,2530
5,19504
0,2581
2,22596
4,18401
1,16296
2,2969
0,17742
3,132297
3,22947
0,114521
2,3613
2,2668
2,2828
0,16256
4,19059
2,19674
1,16067
0,18718
1,3279
0,3192
2,2565
1,25658
4,131213
2,15922
4,18250
1,3207
2,3090
9,146626
2,25986
4,132226
4,22064
2,2555
2,2554
5,23534
1,2612
2,17322
1,3346
0,2646
2,3451
6,160673
2,116510
1,133897
1,147704
4,107080
0,16347
2,3076
0,15384
2,15865
0,15233
0,2739
1,25122
1,15109
4,123204
0,16581
1,18562
1,2682
0,3767
0,2635
0,2549
2,18601
0,18613
0,145991
2,2638
1,2534
1,3299
0,22108
1,2513
0,20023
0,2796
3,24736
0,18361
0,112930
3,22507
2,2548
0,2697
4,21644
2,3044
4,130193
1,112925
2,136033
1,119001
1,22011
3,17473
2,24244
2,3192
2,15664
1,2514
3,125968
0,18907
4,144995
2,3789
1,2678
2,15896
2,19947
1,2620
2,3059
2,3492
0,3254
0,2793
0,15101
1,119352
2,19017
4,111186
0,2552
1,15028
0,15224
2,19538
1,2947
1,118575
3,109855
0,15376
2,22870
2,21308
2,25437
2,2912
5,137467
3,20207
2,2658
2,15428
4,115559
1,109730
1,2711
4,18041
1,18322
1,16285
2,19094
5,155505
1,21526
0,3096
5,19150
3,122539
3,128432
1,3613
2,21876
3,128103
0,136719
0,20281
2,2604
2,2558
4,18865
0,2780
1,17193
5,22295
0,3845
0,3870
2,3061
1,15661
0,3478
2,15125
1,18355
3,129384
0,26322
2,114676
0,115003
2,18868
0,17965
4,112218
2,18484
2,18163
1,2525
1,15956
1,2658
0,15356
3,120886
4,21721
3,113789
1,16723
1,22765
2,20846
0,16386
0,19273
3,141961
5,110199
2,2517
1,20923
8,24757
2,116306
1,2664
4,19256
2,14992
2,2564
2,3179
3,108780
0,20898
0,112460
3,22214
0,2919
1,15039
2,19239
0,16770
3,117541
3,21681
2,110904
2,2566
4,18758
3,18353
2,146697
4,18907
1,123524
0,22289
1,20871
0,143957
2,15438
0,116795
1,18820
4,24598
2,18685
2,19459
2,19389
4,18624
2,148536
5,19415
2,23057
2,2563
0,21382
2,3152
1,15157
2,15074
1,2736
1,2847
0,3319
0,26025
2,21258
2,142890
0,3098
1,3464
2,18715
2,2558
3,124031
4,133336
1,18410
5,20339
1,20919
2,21905
3,147197
0,15849
3,145978
9,118433
1,3171
0,3722
2,15247
2,17822
1,15875
0,18877
4,108509
0,15314
1,2578
0,127369
5,135131
7,19630
3,21157
5,19058
0,3656
1,15038
2,18367
2,24301
0,21350
2,2555
5,19710
0,15089
6,15815
2,135541
1,2918
0,111056
1,21917
0,18345
1,3559
0,16802
4,21471
4,155485
4,21600
2,25691
4,19001
5,152394
7,24932
2,18530
5,124319
2,18303
0,19239
2,15427
3,19366
3,146451
3,111240
0,21434
0,21647
6,146791
1,19658
2,15706
3,133069
2,3469
2,123523
0,110230
1,3111
4,22168
